,index,premise,hypothesis,LLM_answer,rationale
3343,3344,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",Young boy performs folk song for a crowd,neutral,The man is not necessarily a boy. The song is not necessarily a folk song.
3344,3345,"Adolescent white man with black hair, black pants, and a white and black polka-dotted shirt holding and singing into a microphone.",a man plays madden on xbox,contradiction,The man is not playing madden on xbox.
3345,3346,A man wearing a white shirt with black dot is holding a microphone as he stands in front of a background of black with white symbols on it.,A man holds a microphone.,entailment,The man is holding a microphone.
3346,3347,A man wearing a white shirt with black dot is holding a microphone as he stands in front of a background of black with white symbols on it.,A woman is painting.,contradiction,The man is not a woman.
3347,3348,A man wearing a white shirt with black dot is holding a microphone as he stands in front of a background of black with white symbols on it.,A man is singing with a microphone.,neutral,"The man is holding a microphone, but he is not necessarily singing."
3348,3349,"Two dogs are walking on a rugged path, one with a blue rope tied to a red object in its mouth.",Dogs are walking outside,entailment,"The dogs are walking on a rugged path, which is outside."
3349,3350,"Two dogs are walking on a rugged path, one with a blue rope tied to a red object in its mouth.",Dogs eating birds,neutral,The red object is not necessarily a bird.
3350,3351,"Two dogs are walking on a rugged path, one with a blue rope tied to a red object in its mouth.",Dogs on a walk and one has a leash,neutral,"The red object could be a ball, a toy, or a bone."
3351,3352,A young man in a white polka dot shirt is singing into a microphone.,A young man is singing.,entailment,A young man in a white polka dot shirt is a young man.
3352,3353,A young man in a white polka dot shirt is singing into a microphone.,A young man is making a speech.,neutral,Singing into a microphone is not necessarily making a speech.
3353,3354,A young man in a white polka dot shirt is singing into a microphone.,A young man at a karaoke bar.,entailment,"The young man is singing into a microphone, which is what you do at a karaoke bar."
3354,3355,Man singing on stage at a performance.,the guy sings loudly,entailment,"the guy is singing on stage, so he must be singing loudly."
3355,3356,Man singing on stage at a performance.,the cat eats sheep,neutral,the cat eats sheep is not related to the man singing on stage at a performance.
3356,3357,Man singing on stage at a performance.,the guy sings,entailment,the guy is singing on stage at a performance.
3357,3358,Two dogs walking through nature.,A man mows the lawn.,neutral,The dogs are not necessarily walking through nature.
3358,3359,Two dogs walking through nature.,Dogs outside.,entailment,The dogs are outside.
3359,3360,Two dogs walking through nature.,Two dogs walking through the woods to get home.,entailment,The woods are a part of nature.
3360,3361,A man in a brown coat standing on a porch,A human standing,entailment,A man is a human.
3361,3362,A man in a brown coat standing on a porch,A tall human standing,entailment,A man is a human. A brown coat is a coat. A porch is a porch.
3362,3363,A man in a brown coat standing on a porch,Nobody is standing,contradiction,The man is standing.
3363,3364,three ladies posing for the camera,some women standing in a park,contradiction,"the women are posing for the camera, not standing in a park"
3364,3365,three ladies posing for the camera,Some ladies are posing,entailment,The ladies are posing for the camera.
3365,3366,three ladies posing for the camera,Ladies are posing  for the camera,entailment,The ladies are posing for the camera.
3366,3367,An old lady standing on a porch looking off in the distance,A woman is staring off at something.,entailment,An old lady is a woman.
3367,3368,An old lady standing on a porch looking off in the distance,A woman is looking at her neighbors erect a new barn., ,"The old lady is a woman. The old lady is looking off in the distance. The old lady is looking at her neighbors erect a new barn.
Answer"
3368,3369,An old lady standing on a porch looking off in the distance,A woman is sitting in her rocking chair knitting a hat.,contradiction,"The old lady is standing, not sitting. She is not knitting a hat."
3369,3370,The lady on the porch is wearing a brown jacket.,"This person is wearing winter clothing,hat,coat and scarf,while standing outside her front door",entailment,The lady on the porch is wearing a brown jacket.
3370,3371,The lady on the porch is wearing a brown jacket.,A man is wearing a sun hat in the backyard.,neutral,The lady on the porch is not the man in the backyard.
3371,3372,The lady on the porch is wearing a brown jacket.,"A woman is wearing a heavy coat,standing on the patio.","entailment

Pre",A woman is a lady. A heavy coat is a brown jacket. Standing on the patio is standing on the porch.
3372,3373,a elderly woman in a tan jacket is standing by the door of a wooden house carrying a green and beige bag.,The woman is wearing a tan jacket.,entailment,The woman is wearing a tan jacket.
