question,premise,hypothesis,label,llm_label,rationale,input
A woman in a blue shirt in a crowd.</s>A woman wearing a blue shirt and blue jeans is in a crowd.,A woman in a blue shirt in a crowd.,A woman wearing a blue shirt and blue jeans is in a crowd.,neutral,neutral,"The woman is wearing a blue shirt, but the jeans are not mentioned.",A woman in a blue shirt in a crowd.</s>A woman wearing a blue shirt and blue jeans is in a crowd.
A man wearing a kilt is waving to the crowd of people.</s>A man is waving.,A man wearing a kilt is waving to the crowd of people.,A man is waving.,entailment,entailment,A man wearing a kilt is a man.,A man wearing a kilt is waving to the crowd of people.</s>A man is waving.
A man is sitting on a motorcycle on the sidewalk.</s>A man is sitting on a motorcycle.,A man is sitting on a motorcycle on the sidewalk.,A man is sitting on a motorcycle.,entailment,entailment,The man is sitting on a motorcycle.,A man is sitting on a motorcycle on the sidewalk.</s>A man is sitting on a motorcycle.
Two people standing in front of vine covered wall with red flower overhead</s>People are organizing a closet.,Two people standing in front of vine covered wall with red flower overhead,People are organizing a closet.,contradiction,contradiction,"The people are standing in front of a wall, not a closet.",Two people standing in front of vine covered wall with red flower overhead</s>People are organizing a closet.
"Six children, sitting on a step with notepads and crayons.</s>Six kids are drawing funny pictures.","Six children, sitting on a step with notepads and crayons.",Six kids are drawing funny pictures.,neutral,neutral,The kids are sitting on a step with notepads and crayons. They are not necessarily drawing funny pictures.,"Six children, sitting on a step with notepads and crayons.</s>Six kids are drawing funny pictures."
People walking and congregating on a public street.</s>People walking around a city.,People walking and congregating on a public street.,People walking around a city.,entailment,entailment,A public street is a part of a city.,People walking and congregating on a public street.</s>People walking around a city.
Two boys and two girls strapped into a ride.</s>The two boys and girls are laying in a field.,Two boys and two girls strapped into a ride.,The two boys and girls are laying in a field.,contradiction,contradiction,The two boys and girls are strapped into a ride.,Two boys and two girls strapped into a ride.</s>The two boys and girls are laying in a field.
A man cooking rice on a brick stove.</s>A man with a large pot cooking rice on a stove.,A man cooking rice on a brick stove.,A man with a large pot cooking rice on a stove.,neutral,entailment,A brick stove is a type of stove.,A man cooking rice on a brick stove.</s>A man with a large pot cooking rice on a stove.
"A man reads a newspaper under a window.</s>After the air conditioner broke down, the man had to read his newspaper near the window.",A man reads a newspaper under a window.,"After the air conditioner broke down, the man had to read his newspaper near the window.",neutral,neutral,The air conditioner could have broken down before the man read his newspaper.,"A man reads a newspaper under a window.</s>After the air conditioner broke down, the man had to read his newspaper near the window."
"Six men, four in blue shirts with their backs to the camera, are sitting on a boat dock with a dark red pile of fishing nets in front of them.</s>A group of fishermen prepare to go back out to sea.","Six men, four in blue shirts with their backs to the camera, are sitting on a boat dock with a dark red pile of fishing nets in front of them.",A group of fishermen prepare to go back out to sea.,neutral,entailment,The men are sitting on a boat dock with fishing nets in front of them.,"Six men, four in blue shirts with their backs to the camera, are sitting on a boat dock with a dark red pile of fishing nets in front of them.</s>A group of fishermen prepare to go back out to sea."
"Three women, dressed for a formal occasion, take a moment to smile.</s>Three men are wearing jeans.","Three women, dressed for a formal occasion, take a moment to smile.",Three men are wearing jeans.,contradiction,contradiction,"The women are dressed for a formal occasion, so they are not wearing jeans.","Three women, dressed for a formal occasion, take a moment to smile.</s>Three men are wearing jeans."
a man driving a car holding a fast food cup</s>The cup he is holding has coffee in it.,a man driving a car holding a fast food cup,The cup he is holding has coffee in it.,neutral,neutral,The cup could have any other drink in it.,a man driving a car holding a fast food cup</s>The cup he is holding has coffee in it.
"A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes, adults and children within.</s>A woman is outside.","A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes, adults and children within.",A woman is outside.,entailment,entailment,The woman is outside because she is passing by a yard sale.,"A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes, adults and children within.</s>A woman is outside."
