,premise,hypothesis,rationales
5053,Numerous men wearing orange and reflective clothing pose for a picture.,The men are waiting for their picture to be taken.,
5054,a man in a black jacket talking into a microphone.,A construction worker is drilling in the ground.,
5055,A woman practices kickboxing with the aid of a punching bag.,A lady is kicking the punching bag.,
5056,Two boys are standing in their blue swimming trunks.,Two children are girls.,
5057,A dog is shaking water off of itself.,The dog shook off the water.,
5058,A man is sitting next to a computer monitor.,A man is near a Mac.,
5059,"With a building facade in the background, a man stands upon the shoulders of another while holding several burning sticks.",A man is near another person.,
5060,A smiling man is jump roping inside.,A man jumping rope.,
5061,Three man around a wheeled cart with baked goods while a man with a cane walks away.,a man with a cane walks away from a man around a baked goods cart,
5062,a man with no shirt holds a light pole as he stands on part of the stage.,The man has on a very tight shirt.,
5063,Two oriental men engaged in physical activity with a red exercise machine.,Two men are dancing.,
5064,"A man walks toward a garage, on a poorly lit road.",A man is going to check on his vehicle.,
5065,A person standing on a pillar taking a group photo.,A short teacher is standing on a ruined pillar to get a good angle to photograph his students on a school trip.,
5066,Middle eastern woman walking along side motorcyclist in heavy street traffic.,Egyptian woman walking along side motorcyclist in heavy street traffic.,
5067,Two people running down street holding cabinets.,Two people are holding cabinets,
5068,"A man in church robes is talking to a man with a backpack, while a child watches.",A disc jockey is reading his requests for the next song.,
5069,A man wearing a blue tank top in front of a truck with flower pots in front of it.,There is a truck with flower plants in front of it.,
5070,a man in a yellow shirt making sparks on stairs.,A man in a yellow shirt is on a staircase.,
5071,A crowd of people enjoy a sunny day at the dock.,Two men fighting.,
5072,A woman selling flowers on the street corner.,women selling  flowers,
5073,People standing by instruments.,Humans standing,
5074,It appears to be late fall or early winter.,It is sometime between October and December.,
5075,A boy bounces on a trampoline.,A male is jumping.,
5076,A woman wearing a black pencil skirt and white button-up shirt with flip-flops walks across the street.,The woman is heading to the video store across the street.,
5077,Three teens are talking near a wall.,A few teenagers are talking near a wall.,
5078,A group of young people waiting to cross a street.,Young people are sitting on a porch.,
5079,A white dog and a black and white dog are playing while two more black dogs move towards them.,Four dogs are swimming in a lake.,
5080,The horsies look to be the same age.,There are chickens,
5081,A little boy stands above a slum village with books in his arms.,A boy returns from the libary.,
5082,Kid in hoodie jumps a ramp.,the kids went iceskating,
5083,Female in a maroon shirt engaged in conversation with another female in a tan blazer.,Two women are talking.,
5084,A golfer wearing white pants and blue shirt and a white hat taking a swing in the sand.,A woman is playing golf.,
5085,"Young dark blond-haired boy in a blue shirt, in a store during the day, drinking chocolate milk from a container and smiling.",The little boy is watching horses in a field.,
5086,A man with glasses reading a book.,a woman listens to a book on tape,
5087,A girl in a tank top and jean capris stands on railroad tracks.,A woman wearing comfortable clothes standing on tracks.,
5088,A man fixing a little girl's bicycle.,A man fixes his daughter's bicycle.,
5089,A small crowd of people are walking around an city's outdoor fountain.,A group of people can be seen by the fountain.,
5090,A golden retriever is excitedly greeting a woman as a little dog walks towards the camera.,The woman is in a pink dress.,
5091,A man washing windows in a harness and a dark blue shirt.,There are no windows.,
5092,A black dog has a dumbbell in his mouth looking at the person wearing blue.,A dog looks at a woman who is in blue.,
5093,A woman giving a speech in front of a crowd.,A woman giving a speech about freedom in front of a crowd.,
5094,"A family sits around at Christmas time, some playing Jenga while others play with children.","A family is having a Christmas party, some are playing games ,others are playing with kids.",
5095,One person is diving into the water.,Someone is diving.,
5096,A woman basketball player holding the ball grimaces with effort while another player's arm attempts to block her.,Two women are crocheting a pair of mittens.,
5097,A group of people in a casual clothing on a lawn stretching in a yoga pose.,People are stretching outside.,
5098,"A group of people protesting with signs saying, ""stop killing in Iran.""",Group with signs,
5099,Indian man whittles in his own home.,The man is sitting on the couch as he whittles.,
5100,A woman in a white shirt and black pants hula hoops as a large group of people look on.,Hillary Clinton demonstrates a popular children's toy at a town meeting.,
5101,A group of small children horseplay while waiting outside a home.,The children are all taking naps in their beds upstairs.,
5102,People enjoy an outdoor cultural fair.,"Men, women and children went to the cutural fair.",
5103,A spherical shaped sea aquarium building.,A sphere shaped building.,
5104,Blond girl with a white and black feather boa and gray t-shirt dancing in crowd of young people.,Guy dancing at a party,
5105,Two men in a parking lot are carrying a giant beer bottle above their heads while a woman stands in front of them.,People transport alcohol through a parking lot.,
5106,A vocalist in gray shirt and jeans is performing with an electric guitarist wearing a purple bandanna.,The person singing is also playing an instrument,
5107,A man in black rides a bike on a wooden ramp.,A an wearing black clothes is riding his bike on a ramp.,
5108,A girl in orange shirt and clown makeup stands in a park while others look on.,A girl wears theatrical makeup in the park.,
